element_id,row_type,parent_id,screen_id,screen,source_path,source_symbol_or_requirement,implementation_status,component_id,variant,states,light_dark_token_roles,layout_id,pattern_id,placement,interaction_contract,accessibility_contract,copy_key,english,romanian,spec_anchor,verification_scenario
C:D01-A01,source_action_group,,D01,Unsaved changes and save rescue,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D01-A01,implemented,C20,Keep editing / Resume recovered input,Open; staged; error; ineligible; committing; safe return,color.surfaceRaised;color.textPrimary;color.textSecondary;color.action;color.errorInk;color.destructive;color.onDestructive;color.focus,L11,P10,Explicit labelled secondary action in the matching D01 section; infrequent management variants in named More menu per screen composition.,Return to the same editor and buffer; no business mutation. Missing parent produces a safe explanation.,Use C20 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d01_a01,Keep editing / Resume recovered input,Continuă editarea / Reia datele recuperate,action-c-d01-a01,"T-C-D01-A01: invoke from D01; test success, cancellation, blocked state and retry against this exact effect."
C:D01-A02,source_action_group,,D01,Unsaved changes and save rescue,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D01-A02,implemented,C06,Discard changes,Open; staged; error; ineligible; committing; safe return,color.destructive;color.onDestructive;color.errorInk;color.errorContainer;color.focus,L11,P10,Explicit labelled secondary action in the matching D01 section; infrequent management variants in named More menu per screen composition.,Discard only uncommitted input after named loss review; keep the last durable record.,Use C06 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d01_a02,Discard changes,Renunță la modificări,action-c-d01-a02,"T-C-D01-A02: invoke from D01; test success, cancellation, blocked state and retry against this exact effect."
C:D01-A03,source_action_group,,D01,Unsaved changes and save rescue,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D01-A03,adopted/pending (partial control exposed),C05,Retry saving,Open; staged; error; ineligible; committing; safe return,color.action;color.onAction;color.actionPressed;color.surface;color.outlineControl;color.disabledContainer;color.disabledText;color.focus,L11,P01,Primary footer or current review/section commit named Retry saving; conditional variants never shown simultaneously as competing primary actions.,Retry the failed write and wait for actual durable acknowledgement before departure.,Use C05 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d01_a03,Retry saving,Reîncearcă salvarea,action-c-d01-a03,"T-C-D01-A03: invoke from D01; test success, cancellation, blocked state and retry against this exact effect."
C:D01-A04,source_action_group,,D01,Unsaved changes and save rescue,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D01-A04,adopted/pending,C06,Leave without unsaved changes,Open; staged; error; ineligible; committing; safe return,color.destructive;color.onDestructive;color.errorInk;color.errorContainer;color.focus,L11,P10,Explicit labelled secondary action in the matching D01 section; infrequent management variants in named More menu per screen composition.,Only after save failure; explain the last confirmed checkpoint and exactly what is lost.,Use C06 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d01_a04,Leave without unsaved changes,Ieși fără modificările nesalvate,action-c-d01-a04,"T-C-D01-A04: invoke from D01; test success, cancellation, blocked state and retry against this exact effect."
C:D02-A01,source_action_group,,D02,Entity selector,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D02-A01,implemented,C17,Search / Clear search,Open; staged; error; ineligible; committing; safe return,color.surface;color.textPrimary;color.textSecondary;color.icon;color.outlineDecorative;color.focus,L11,P03,List/selector controls immediately below top bar and before result count; never a status badge.,Filter eligible local records by actual identity/context; no match does not create a record.,Use C17 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d02_a01,Search / Clear search,Caută / Șterge căutarea,action-c-d02-a01,"T-C-D02-A01: invoke from D02; test success, cancellation, blocked state and retry against this exact effect."
C:D02-A02,source_action_group,,D02,Entity selector,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D02-A02,implemented,C13,Select row / selection checkbox,Open; staged; error; ineligible; committing; safe return,color.action;color.onAction;color.outlineControl;color.textPrimary;color.textSecondary;color.focus;color.disabledText,L11,P04,Labelled choice/selection group named Select row / selection checkbox in D02; option toggles retain group/parent context.,Single-choice row or staged multi-selection; ineligible rows explain why. No mutation of parent yet.,Use C13 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d02_a02,Select row / selection checkbox,Selectează rândul / Selectează,action-c-d02-a02,"T-C-D02-A02: invoke from D02; test success, cancellation, blocked state and retry against this exact effect."
C:D02-A03,source_action_group,,D02,Entity selector,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D02-A03,adopted/pending,C05,Use selection,Open; staged; error; ineligible; committing; safe return,color.action;color.onAction;color.actionPressed;color.surface;color.outlineControl;color.disabledContainer;color.disabledText;color.focus,L11,P01,Primary footer or current review/section commit named Use selection; conditional variants never shown simultaneously as competing primary actions.,Return valid staged selection to parent; parent Save still owns persistence.,Use C05 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d02_a03,Use selection,Folosește selecția,action-c-d02-a03,"T-C-D02-A03: invoke from D02; test success, cancellation, blocked state and retry against this exact effect."
C:D02-A04,source_action_group,,D02,Entity selector,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D02-A04,adopted/pending,C07,Add customer / Add site / Add equipment / Add template,Open; staged; error; ineligible; committing; safe return,color.action;color.focus;color.disabledText;color.surface,L11,P01,Explicit labelled secondary action in the matching D02 section; infrequent management variants in named More menu per screen composition.,Open only entity editors authorized for this selector; return the saved result. Cancelling restores previous selection.,Use C07 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d02_a04,Add customer / Add site / Add equipment / Add template,Adaugă client / Adaugă locație / Adaugă echipament / Adaugă șablon,action-c-d02-a04,"T-C-D02-A04: invoke from D02; test success, cancellation, blocked state and retry against this exact effect."
C:D02-A05,source_action_group,,D02,Entity selector,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D02-A05,adopted/pending,C14,Show historical/inactive,Open; staged; error; ineligible; committing; safe return,color.action;color.onAction;color.surfaceSubtle;color.outlineControl;color.textPrimary;color.textSecondary;color.errorInk;color.focus,L11,P01,Explicit labelled secondary action in the matching D02 section; infrequent management variants in named More menu per screen composition.,Only in scopes allowing historical selection; does not reactivate records or make them current eligible.,Use C14 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d02_a05,Show historical/inactive,Arată înregistrările istorice/inactive,action-c-d02-a05,"T-C-D02-A05: invoke from D02; test success, cancellation, blocked state and retry against this exact effect."
C:D02-A06,source_action_group,,D02,Entity selector,docs/product/ServiceLoop_Conceptual_App_Map_v0_1.md,C:D02-A06,implemented,C07,Cancel,Open; staged; error; ineligible; committing; safe return,color.action;color.focus;color.disabledText;color.surface,L11,P01,Toolbar Back/Cancel or safe dialog dismissal; obey exact parent save contract.,Discard staged choice and return the parent's previous selection.,Use C07 role/name/state contract; include current record identity where repeated; preserve logical focus and explicit keyboard action.,action_c_d02_a06,Cancel,Renunță,action-c-d02-a06,"T-C-D02-A06: invoke from D02; test success, cancellation, blocked state and retry against this exact effect."
